"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","gain","loss","mag","con","retend"
"202387",45,2,1,NA,FALSE,165,1,100,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",46,2,2,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",47,2,3,NA,FALSE,165,1,50,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",48,2,1,NA,FALSE,165,1,100,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",49,2,1,NA,FALSE,165,1,100,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",50,2,2,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",51,2,4,NA,FALSE,165,1,50,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",52,2,1,NA,FALSE,165,1,100,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",53,2,4,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",54,2,2,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",55,2,3,NA,FALSE,165,1,50,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",56,2,3,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",57,2,3,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",58,2,4,NA,FALSE,165,1,50,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",59,2,1,NA,FALSE,165,1,-250,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",60,2,1,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",61,3,1,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",62,3,4,NA,FALSE,165,1,50,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",63,3,2,NA,FALSE,165,1,100,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",64,3,3,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",65,3,4,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",66,3,1,NA,FALSE,165,1,-250,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",67,3,2,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",68,3,4,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",69,3,3,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",70,3,4,NA,FALSE,165,1,50,0.567326,4.15843,0.146827,-1.40284,0.4958335
