"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","wgt_pun","wgt_rew","update"
"200002",100,4,1,NA,FALSE,155,1,-250,0.187335525330838,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",101,5,1,NA,FALSE,155,1,100,0.26450295303089,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",102,5,1,NA,FALSE,155,0,0,0.583620382777274,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",103,5,3,NA,FALSE,155,1,50,0.46867849792483,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",104,5,4,NA,FALSE,155,1,-200,0.778457122299478,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",105,5,4,NA,FALSE,155,1,50,0.723817353125711,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",106,5,2,NA,FALSE,155,1,100,0.234140418476193,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",107,5,4,NA,FALSE,155,1,50,0.627274145176216,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",108,5,3,NA,FALSE,155,0,0,0.459379415259912,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",109,5,3,NA,FALSE,155,1,-25,0.335938168819614,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",110,5,2,NA,FALSE,155,0,0,0.897840282349597,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",111,5,4,NA,FALSE,155,1,50,0.372400057640476,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
