"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","decay"
"200002",33,1,3,NA,FALSE,158,0,0,0.109564838327044,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",34,1,3,NA,FALSE,158,1,50,0.385201761646432,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",35,1,2,NA,FALSE,158,1,-1150,0.887166306434988,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",36,1,3,NA,FALSE,158,0,0,0.197693431215108,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",37,1,4,NA,FALSE,158,1,-200,0.222437837070315,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",38,1,1,NA,FALSE,158,1,100,0.565796289971445,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",39,1,2,NA,FALSE,158,1,100,0.778230408100221,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",40,1,1,NA,FALSE,158,1,-250,0.3646700288385,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",41,2,2,NA,FALSE,158,1,-1150,0.300499706767144,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",42,2,4,NA,FALSE,158,1,50,0.286567920940607,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",43,2,4,NA,FALSE,158,1,50,0.222530699624128,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",44,2,2,NA,FALSE,158,0,0,2.54999132198967,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",45,2,2,NA,FALSE,158,0,0,0.176156878696969,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",46,2,4,NA,FALSE,158,1,-200,0.199285329273091,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",47,2,2,NA,FALSE,158,1,100,0.443658058177301,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",48,2,4,NA,FALSE,158,1,50,0.433905698029349,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",49,2,1,NA,FALSE,158,1,-250,0.270826814648424,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",50,2,2,NA,FALSE,158,1,100,0.345957566583942,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",51,2,3,NA,FALSE,158,0,0,0.138820305658876,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",52,2,3,NA,FALSE,158,0,0,0.647790881738187,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",53,2,2,NA,FALSE,158,1,100,0.102049002524157,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",54,2,2,NA,FALSE,158,0,0,0.838327397637745,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",55,2,2,NA,FALSE,158,1,100,0.195191299021575,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",56,2,1,NA,FALSE,158,0,0,0.328055844769123,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",57,2,3,NA,FALSE,158,0,0,0.673642364972773,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",58,2,3,NA,FALSE,158,1,50,0.318170890237704,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",59,2,1,NA,FALSE,158,1,-250,0.328558856201237,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",60,2,3,NA,FALSE,158,0,0,0.866978394525371,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",61,3,1,NA,FALSE,158,0,0,0.212858629982989,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",62,3,4,NA,FALSE,158,1,50,0.185535253436739,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",63,3,2,NA,FALSE,158,1,100,0.203984185940534,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",64,3,1,NA,FALSE,158,1,-250,0.201619658690576,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",65,3,1,NA,FALSE,158,0,0,1.32424213370136,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",66,3,4,NA,FALSE,158,1,50,1.08525107033743,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",67,3,1,NA,FALSE,158,0,0,0.35146017618194,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",68,3,4,NA,FALSE,158,1,50,0.482826448446787,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",69,3,1,NA,FALSE,158,1,-250,0.149234350869803,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",70,3,2,NA,FALSE,158,0,0,0.898626604902538,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",71,3,3,NA,FALSE,158,1,50,0.241963463783094,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
