"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","consistency","update_rate_mf","decay_factor","pos_val","neg_val","var_pe_update"
"202074",33,1,4,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",34,1,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",35,1,4,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",36,1,1,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",37,1,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",38,1,3,NA,FALSE,14,1,-25,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",39,1,3,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",40,1,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",41,2,3,NA,FALSE,14,1,50,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",42,2,4,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",43,2,3,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",44,2,4,NA,FALSE,14,1,50,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",45,2,1,NA,FALSE,14,1,-250,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",46,2,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",47,2,1,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",48,2,3,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",49,2,1,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",50,2,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",51,2,4,NA,FALSE,14,1,50,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
