"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","mag","retend"
"200005",6,0,2,1,TRUE,33,1,100,0.38230451383927,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",7,0,2,0,TRUE,33,0,0,0.311339744383576,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",8,0,4,1,TRUE,33,1,50,0.504071213019219,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",9,0,2,0,TRUE,33,0,0,0.306799866853616,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",10,0,1,1,TRUE,33,1,-250,0.811104995131637,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",11,0,4,1,TRUE,33,1,50,0.620208211008481,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",12,0,1,0,TRUE,33,0,0,0.821710077436807,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",13,0,4,1,TRUE,33,1,50,0.58925684419956,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",14,0,3,1,TRUE,33,1,-25,1.08215205666138,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",15,0,2,0,TRUE,33,0,0,1.15414667879339,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",16,0,4,1,TRUE,33,1,50,0.318402963804417,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",17,0,3,1,TRUE,33,1,50,0.296831830573799,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",18,0,1,1,TRUE,33,1,100,1.00650624063638,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",19,0,1,1,TRUE,33,1,-250,0.375283562972377,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",20,0,1,0,TRUE,33,0,0,1.27997985534846,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",21,1,2,NA,FALSE,33,1,100,0.702187533176146,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",22,1,1,NA,FALSE,33,1,-250,0.324531708302784,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",23,1,3,NA,FALSE,33,0,0,0.603736292393986,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",24,1,2,NA,FALSE,33,1,100,0.447067058091387,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",25,1,3,NA,FALSE,33,0,0,0.360153527814721,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
