"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","wgt_rew","wgt_pun","update"
"100",3,1,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",4,1,NA,FALSE,2,1,0.25,0.417963361728471,4.488445,0.8702955,0.00722698,0.20608
"100",5,1,NA,FALSE,2,1,0.25,0.798997521225829,4.488445,0.8702955,0.00722698,0.20608
"100",6,1,NA,FALSE,2,1,0.25,0.377651314181276,4.488445,0.8702955,0.00722698,0.20608
"100",7,1,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",8,1,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",9,1,NA,FALSE,2,1,0.25,0.463492689584382,4.488445,0.8702955,0.00722698,0.20608
"100",10,1,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",11,1,NA,FALSE,2,1,0.25,0.814211609656923,4.488445,0.8702955,0.00722698,0.20608
"100",12,1,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",13,1,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",14,1,NA,FALSE,2,1,0.25,0.427891453006305,4.488445,0.8702955,0.00722698,0.20608
"100",15,1,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",16,1,NA,FALSE,2,1,0.25,0.748187669110484,4.488445,0.8702955,0.00722698,0.20608
"100",17,1,NA,FALSE,2,1,0.25,0.461907639622223,4.488445,0.8702955,0.00722698,0.20608
"100",18,1,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",19,1,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",20,1,NA,FALSE,2,1,0.25,0.458767470554449,4.488445,0.8702955,0.00722698,0.20608
"100",21,2,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",22,2,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",23,2,NA,FALSE,2,1,0.25,0.570738494989928,4.488445,0.8702955,0.00722698,0.20608
"100",24,2,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",25,2,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",26,2,NA,FALSE,2,1,0.25,0.648787352791987,4.488445,0.8702955,0.00722698,0.20608
"100",27,2,NA,FALSE,2,1,0.25,0.662569278979208,4.488445,0.8702955,0.00722698,0.20608
"100",28,2,NA,FALSE,2,1,0.25,0.699079063825775,4.488445,0.8702955,0.00722698,0.20608
"100",29,2,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",30,2,NA,FALSE,2,1,0.25,0.422122053010389,4.488445,0.8702955,0.00722698,0.20608
"100",31,2,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",32,2,NA,FALSE,2,1,0.25,0.677579921693541,4.488445,0.8702955,0.00722698,0.20608
"100",33,2,NA,FALSE,2,1,0.25,0.891271061147563,4.488445,0.8702955,0.00722698,0.20608
"100",34,2,NA,FALSE,2,1,0.25,0.685780631273519,4.488445,0.8702955,0.00722698,0.20608
"100",35,2,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",36,2,NA,FALSE,2,1,0.25,0.8673251793487,4.488445,0.8702955,0.00722698,0.20608
"100",37,2,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",38,2,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",39,2,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",40,2,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",41,3,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",42,3,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
