"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","update","epP","epN","K","w","decay"
"0001",95,5,NA,FALSE,33,3,0.119913436390925,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",96,5,NA,FALSE,33,1,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",97,5,NA,FALSE,33,3,0.124503313296009,0.110551443859003,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",98,5,NA,FALSE,33,3,0.125780883163679,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",99,5,NA,FALSE,33,3,0.109504816797562,0.125216668879148,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",100,5,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0006",1,1,NA,FALSE,58,4,0.104144052765332,0,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",2,1,NA,FALSE,58,2,0.25,0,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",3,1,NA,FALSE,58,2,0.25,0,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",4,1,NA,FALSE,58,2,0.25,0,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",5,1,NA,FALSE,58,2,0.25,0,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",6,1,NA,FALSE,58,3,0.129717841488309,0.136749649117701,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",7,1,NA,FALSE,58,1,0.25,0.75048115097452,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",8,1,NA,FALSE,58,1,0.25,0.459916525473818,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",9,1,NA,FALSE,58,2,0.25,0,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",10,1,NA,FALSE,58,2,0.25,0,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",11,1,NA,FALSE,58,2,0.25,0,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",12,1,NA,FALSE,58,2,0.25,0,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",13,1,NA,FALSE,58,2,0.25,0,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",14,1,NA,FALSE,58,2,0.25,0,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",15,1,NA,FALSE,58,2,0.25,0,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",16,1,NA,FALSE,58,2,0.25,0,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",17,1,NA,FALSE,58,2,0.25,3.02612500882242,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",18,1,NA,FALSE,58,2,0.25,0,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",19,1,NA,FALSE,58,3,0.100131662911735,0,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",20,1,NA,FALSE,58,3,0.102865066076629,0,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",21,2,NA,FALSE,58,3,0.116367022751365,0,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",22,2,NA,FALSE,58,3,0.148325882735662,0.0968490576604381,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
"0006",23,2,NA,FALSE,58,4,0.149927320424467,0,0.964061,0.153343,2.62311,0.4685705,0.882966,0.1026685,0.383532,0.3413335,0.471419
