"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","drift_A","drift_B","drift_C","drift_D"
"0001",74,4,NA,FALSE,19,2,0.25,0,0.748254934433433,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",75,4,NA,FALSE,19,3,0.131752276874613,0.186601238499861,0.493185824339852,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",76,4,NA,FALSE,19,1,0.25,0.47814416406909,2.41469337570803,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",77,4,NA,FALSE,19,2,0.25,0,1.27030935560553,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",78,4,NA,FALSE,19,2,0.25,0,2.68513192498523,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",79,4,NA,FALSE,19,4,0.10372149918694,0.617342483182438,0.91591151560226,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",80,4,NA,FALSE,19,3,0.11938093455974,0,0.808491765181234,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",81,5,NA,FALSE,19,2,0.25,0,1.9153167895494,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",82,5,NA,FALSE,19,3,0.146193253330421,0,0.595186077156285,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",83,5,NA,FALSE,19,2,0.25,0,0.784691518285221,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",84,5,NA,FALSE,19,2,0.25,0,1.73764957442427,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",85,5,NA,FALSE,19,2,0.25,0,0.474517831417907,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",86,5,NA,FALSE,19,3,0.138991528179031,0.160987214103807,0.806406365300074,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",87,5,NA,FALSE,19,2,0.25,0,0.561084575249689,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",88,5,NA,FALSE,19,1,0.25,0,0.484323532445344,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",89,5,NA,FALSE,19,4,0.143405463243835,0,1.18353734996169,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",90,5,NA,FALSE,19,2,0.25,0,1.2030485459367,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",91,5,NA,FALSE,19,2,0.25,0,2.19107448660966,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",92,5,NA,FALSE,19,2,0.25,0,0.826889394087966,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",93,5,NA,FALSE,19,1,0.25,0,1.3381263219812,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",94,5,NA,FALSE,19,1,0.25,0.616877622413449,0.807619099192147,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",95,5,NA,FALSE,19,2,0.25,0,0.472822532119527,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",96,5,NA,FALSE,19,1,0.25,0,0.634588499086622,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",97,5,NA,FALSE,19,1,0.25,0,1.03732377966497,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",98,5,NA,FALSE,19,3,0.10314228188945,0.147544282488525,0.902131971806964,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",99,5,NA,FALSE,19,2,0.25,0,2.38968933461131,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",100,5,NA,FALSE,19,4,0.112635756225791,0,0.850349075718005,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0002",1,1,NA,FALSE,74,2,0.25,0,0.407699776654774,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",2,1,NA,FALSE,74,3,0.144329405855387,0.151993825635873,0.666525498587568,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",3,1,NA,FALSE,74,4,0.131993761472404,0,0.922119032325681,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",4,1,NA,FALSE,74,2,0.25,0,0.971159688630082,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",5,1,NA,FALSE,74,1,0.25,0.630106326600071,0.431632443500509,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",6,1,NA,FALSE,74,2,0.25,0,0.416706824659738,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",7,1,NA,FALSE,74,3,0.119969132449478,0.139651654579211,0.655441781071719,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",8,1,NA,FALSE,74,2,0.25,0,0.917603313374963,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
