"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","Arew","Apun","K","betaF","betaP"
"1",59,3,NA,FALSE,83,4,0.109197427309118,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",60,3,NA,FALSE,83,4,0.108406530751381,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",61,4,NA,FALSE,83,4,0.103904835158028,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",62,4,NA,FALSE,83,4,0.126868212514091,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",63,4,NA,FALSE,83,4,0.145234904089011,0.611511165229604,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",64,4,NA,FALSE,83,4,0.136654921178706,0.649025276990142,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",65,4,NA,FALSE,83,4,0.106065751973074,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",66,4,NA,FALSE,83,4,0.113076255377382,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",67,4,NA,FALSE,83,4,0.129322373238392,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",68,4,NA,FALSE,83,4,0.127530631818809,0.625104534393176,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",69,4,NA,FALSE,83,3,0.132709041680209,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",70,4,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",71,4,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",72,4,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",73,4,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",74,4,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",75,4,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",76,4,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",77,4,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",78,4,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",79,4,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",80,4,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",81,5,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",82,5,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",83,5,NA,FALSE,83,2,0.25,3.0901740823756,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",84,5,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",85,5,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
