"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","wgt_rew","wgt_pun","update","cohort"
"0004",98,5,NA,FALSE,15,1,0.25,0.663839895068668,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",99,5,NA,FALSE,15,2,0.25,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",100,5,NA,FALSE,15,2,0.25,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0007",1,1,NA,FALSE,47,1,0.25,0.894342737982515,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",2,1,NA,FALSE,47,1,0.25,0,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",3,1,NA,FALSE,47,1,0.25,0.594304661196656,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",4,1,NA,FALSE,47,2,0.25,0,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",5,1,NA,FALSE,47,1,0.25,0.836681068281177,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",6,1,NA,FALSE,47,2,0.25,0,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",7,1,NA,FALSE,47,1,0.25,0.453673194872681,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",8,1,NA,FALSE,47,2,0.25,0,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",9,1,NA,FALSE,47,1,0.25,0.880287533730734,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",10,1,NA,FALSE,47,3,0.101190425618552,0,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",11,1,NA,FALSE,47,2,0.25,0,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",12,1,NA,FALSE,47,4,0.146142429485917,0,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",13,1,NA,FALSE,47,4,0.110598753357772,0,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",14,1,NA,FALSE,47,4,0.129295828042086,0.638067241280805,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",15,1,NA,FALSE,47,2,0.25,0,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",16,1,NA,FALSE,47,4,0.142894696362782,0,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",17,1,NA,FALSE,47,4,0.130993997340556,0,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",18,1,NA,FALSE,47,3,0.130103658861481,0,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",19,1,NA,FALSE,47,2,0.25,0,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",20,1,NA,FALSE,47,4,0.139021324238274,0,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",21,2,NA,FALSE,47,2,0.25,0,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",22,2,NA,FALSE,47,4,0.121316847612616,0,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",23,2,NA,FALSE,47,3,0.139242917241063,0,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",24,2,NA,FALSE,47,4,0.104443365184125,0,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",25,2,NA,FALSE,47,1,0.25,0.861209965660237,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",26,2,NA,FALSE,47,2,0.25,0,0.958536,0.4309355,0.4448815,0.4239605,"luc"
"0007",27,2,NA,FALSE,47,3,0.139240082004108,0.143070892547257,0.958536,0.4309355,0.4448815,0.4239605,"luc"
