"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","gain","loss","update","epP","epN","K","w","decay"
"0001",31,2,NA,FALSE,37,3,0.104268512537237,0,0.62853727652347,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",32,2,NA,FALSE,37,3,0.122390210151207,0.142035068443511,0.320549124013513,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",33,2,NA,FALSE,37,2,0.25,0,1.19169174666176,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",34,2,NA,FALSE,37,2,0.25,0,1.19421533049921,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",35,2,NA,FALSE,37,1,0.25,0.823192512919195,0.798677378654811,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",36,2,NA,FALSE,37,2,0.25,0,0.791335624387377,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",37,2,NA,FALSE,37,3,0.105376032192726,0,0.728739998106733,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",38,2,NA,FALSE,37,2,0.25,0,0.895953724745906,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",39,2,NA,FALSE,37,1,0.25,0.60511289491551,1.21707125819084,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",40,2,NA,FALSE,37,1,0.25,0.518237998511176,1.14900463241854,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",41,3,NA,FALSE,37,1,0.25,0,1.34428438316215,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",42,3,NA,FALSE,37,1,0.25,0.753470246761572,1.11504599582945,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
