"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","mag","update"
"200001",119,5,1,NA,FALSE,134,0,0,0.429593023164572,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",120,5,2,NA,FALSE,134,1,100,1.7961377948941,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200007",1,0,4,1,TRUE,16,1,50,0.294066628569765,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",2,0,3,0,TRUE,16,0,0,0.391092703215421,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",3,0,2,1,TRUE,16,1,100,0.37982582909687,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",4,0,3,1,TRUE,16,1,50,0.537080022990332,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",5,0,3,0,TRUE,16,0,0,0.721792438292057,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",6,0,2,1,TRUE,16,1,100,0.350212920256241,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",7,0,2,0,TRUE,16,0,0,0.316585457810742,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",8,0,4,1,TRUE,16,1,50,0.318739591448994,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",9,0,2,0,TRUE,16,0,0,0.36929246390039,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",10,0,1,1,TRUE,16,1,100,0.326096171523377,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",11,0,4,1,TRUE,16,1,50,0.707353892325144,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",12,0,1,0,TRUE,16,0,0,0.32326373722622,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",13,0,4,1,TRUE,16,1,50,0.624847783030121,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",14,0,3,1,TRUE,16,1,0,0.920524989199053,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
