"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","mag","update","decay"
"200952",80,3,2,NA,FALSE,176,0,0,1.41403580546518,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",81,4,1,NA,FALSE,176,1,-250,0.428921823323909,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",82,4,4,NA,FALSE,176,0,0,0.52556629018001,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",83,4,2,NA,FALSE,176,1,100,2.00251246418269,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",84,4,2,NA,FALSE,176,0,0,1.52842836044036,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",85,4,4,NA,FALSE,176,1,50,0.372781815911215,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",86,4,3,NA,FALSE,176,1,50,0.366639326370287,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",87,4,1,NA,FALSE,176,1,-250,0.556283544609017,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",88,4,1,NA,FALSE,176,0,0,0.876890904756052,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",89,4,4,NA,FALSE,176,0,0,0.467559871193997,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",90,4,2,NA,FALSE,176,1,100,0.691313993335961,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",91,4,2,NA,FALSE,176,0,0,2.38334699739444,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",92,4,4,NA,FALSE,176,1,50,0.561272856756754,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",93,4,2,NA,FALSE,176,1,100,0.939944719428827,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",94,4,2,NA,FALSE,176,1,100,0.631427430778706,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
