"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","gain","loss","con","retend"
"200004",77,3,3,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",78,3,4,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",79,3,3,NA,FALSE,87,0,0,0.210888,0.5775975,-0.350452,0.926235
"200004",80,3,1,NA,FALSE,87,0,0,0.210888,0.5775975,-0.350452,0.926235
"200004",81,4,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",82,4,3,NA,FALSE,87,1,-25,0.210888,0.5775975,-0.350452,0.926235
"200004",83,4,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",84,4,3,NA,FALSE,87,0,0,0.210888,0.5775975,-0.350452,0.926235
"200004",85,4,4,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",86,4,3,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",87,4,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",88,4,3,NA,FALSE,87,0,0,0.210888,0.5775975,-0.350452,0.926235
"200004",89,4,4,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",90,4,3,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",91,4,3,NA,FALSE,87,0,0,0.210888,0.5775975,-0.350452,0.926235
"200004",92,4,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",93,4,1,NA,FALSE,87,0,0,0.210888,0.5775975,-0.350452,0.926235
"200004",94,4,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",95,4,2,NA,FALSE,87,1,-1150,0.210888,0.5775975,-0.350452,0.926235
"200004",96,4,4,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",97,4,3,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",98,4,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",99,4,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",100,4,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",101,5,4,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",102,5,4,NA,FALSE,87,1,-200,0.210888,0.5775975,-0.350452,0.926235
"200004",103,5,1,NA,FALSE,87,0,0,0.210888,0.5775975,-0.350452,0.926235
"200004",104,5,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",105,5,4,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",106,5,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",107,5,1,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",108,5,3,NA,FALSE,87,1,-25,0.210888,0.5775975,-0.350452,0.926235
"200004",109,5,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",110,5,3,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",111,5,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",112,5,1,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",113,5,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",114,5,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",115,5,4,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",116,5,1,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",117,5,4,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",118,5,3,NA,FALSE,87,1,0,0.210888,0.5775975,-0.350452,0.926235
"200004",119,5,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",120,5,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200438",1,0,4,1,TRUE,4,1,50,0.205683,0.5607385,0.3816185,0.294227
"200438",2,0,3,0,TRUE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",3,0,2,1,TRUE,4,1,100,0.205683,0.5607385,0.3816185,0.294227
"200438",4,0,3,1,TRUE,4,1,50,0.205683,0.5607385,0.3816185,0.294227
"200438",5,0,3,0,TRUE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",6,0,2,1,TRUE,4,1,100,0.205683,0.5607385,0.3816185,0.294227
