"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","gain","loss","con","update","decay"
"200923",92,4,3,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",93,4,3,NA,FALSE,40,1,-25,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",94,4,2,NA,FALSE,40,1,100,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",95,4,2,NA,FALSE,40,1,100,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",96,4,3,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",97,4,4,NA,FALSE,40,1,-200,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",98,4,1,NA,FALSE,40,0,0,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",99,4,2,NA,FALSE,40,1,100,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",100,4,4,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",101,5,1,NA,FALSE,40,0,0,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",102,5,3,NA,FALSE,40,0,0,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",103,5,1,NA,FALSE,40,0,0,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",104,5,4,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",105,5,2,NA,FALSE,40,1,100,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",106,5,4,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",107,5,4,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",108,5,1,NA,FALSE,40,1,-250,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",109,5,1,NA,FALSE,40,0,0,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",110,5,3,NA,FALSE,40,1,-25,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",111,5,3,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",112,5,3,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",113,5,4,NA,FALSE,40,1,-200,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",114,5,2,NA,FALSE,40,1,100,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",115,5,1,NA,FALSE,40,0,0,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",116,5,2,NA,FALSE,40,1,100,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",117,5,3,NA,FALSE,40,1,0,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",118,5,1,NA,FALSE,40,0,0,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",119,5,2,NA,FALSE,40,1,100,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",120,5,1,NA,FALSE,40,1,-250,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200924",1,0,4,1,TRUE,51,1,50,1.590185,0.513069,-0.2496315,0.758957,0.07692735
"200924",2,0,3,0,TRUE,51,0,0,1.590185,0.513069,-0.2496315,0.758957,0.07692735
"200924",3,0,2,1,TRUE,51,1,100,1.590185,0.513069,-0.2496315,0.758957,0.07692735
"200924",4,0,3,1,TRUE,51,1,50,1.590185,0.513069,-0.2496315,0.758957,0.07692735
"200924",5,0,3,0,TRUE,51,0,0,1.590185,0.513069,-0.2496315,0.758957,0.07692735
