"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","Arew","Apun","K","betaF","betaP"
"0001",89,5,NA,FALSE,60,2,0.25,0,0.563661604151615,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",90,5,NA,FALSE,60,1,0.25,0.717830051446799,0.926840572712658,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",91,5,NA,FALSE,60,2,0.25,0,1.18306509870129,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",92,5,NA,FALSE,60,2,0.25,0,1.07395908323386,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",93,5,NA,FALSE,60,2,0.25,0,0.805431205047069,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",94,5,NA,FALSE,60,2,0.25,0,1.14082068696145,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",95,5,NA,FALSE,60,1,0.25,0.478449440083932,0.528204481377671,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",96,5,NA,FALSE,60,3,0.126073668932077,0,1.01623409250962,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",97,5,NA,FALSE,60,2,0.25,0,0.728492013590162,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",98,5,NA,FALSE,60,1,0.25,0.602921208774205,0.934151734206189,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",99,5,NA,FALSE,60,1,0.25,0.850441774935462,0.81638365406277,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",100,5,NA,FALSE,60,1,0.25,0.555496484402102,0.727002299604304,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0002",1,1,NA,FALSE,24,4,0.140426802041475,0,0.689819009778979,1.93409,1.19947,0.0592815,0.05318415,0.0933899,1.20973,0.6087885,0.0888503,2.675995,0.976058,0.4032495
"0002",2,1,NA,FALSE,24,1,0.25,0.674980833171867,1.0458503737133,1.93409,1.19947,0.0592815,0.05318415,0.0933899,1.20973,0.6087885,0.0888503,2.675995,0.976058,0.4032495
"0002",3,1,NA,FALSE,24,2,0.25,0,0.70519201107857,1.93409,1.19947,0.0592815,0.05318415,0.0933899,1.20973,0.6087885,0.0888503,2.675995,0.976058,0.4032495
"0002",4,1,NA,FALSE,24,3,0.126571847137529,0,0.652112036719436,1.93409,1.19947,0.0592815,0.05318415,0.0933899,1.20973,0.6087885,0.0888503,2.675995,0.976058,0.4032495
"0002",5,1,NA,FALSE,24,1,0.25,0.528594058612362,0.927708647906806,1.93409,1.19947,0.0592815,0.05318415,0.0933899,1.20973,0.6087885,0.0888503,2.675995,0.976058,0.4032495
