"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","gain","loss","decay","explore_alpha","explore_bonus"
"0001",45,3,NA,FALSE,25,1,0.25,0.550224099180195,0.792229482907521,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",46,3,NA,FALSE,25,1,0.25,0.649693980847951,0.817620607829679,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",47,3,NA,FALSE,25,3,0.13187415227294,0.173024338507094,0.732775279583385,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",48,3,NA,FALSE,25,2,0.25,0,0.832235839287652,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",49,3,NA,FALSE,25,2,0.25,3.24542673950782,1.42770404607061,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",50,3,NA,FALSE,25,1,0.25,0,0.547012582406587,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",51,3,NA,FALSE,25,1,0.25,0,2.15262134112828,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",52,3,NA,FALSE,25,1,0.25,0.852007627126295,0.628735482503139,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",53,3,NA,FALSE,25,2,0.25,0,1.91522806881805,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",54,3,NA,FALSE,25,2,0.25,3.07544339005835,0.60326915888478,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",55,3,NA,FALSE,25,2,0.25,0,2.1346175021417,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",56,3,NA,FALSE,25,1,0.25,0.727137337054592,0.968321182302994,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",57,3,NA,FALSE,25,3,0.112998162931763,0.0505863380152732,0.882171080220685,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",58,3,NA,FALSE,25,4,0.129110457538627,0,1.11683168345036,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",59,3,NA,FALSE,25,2,0.25,0,1.21243962092581,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",60,3,NA,FALSE,25,1,0.25,0.555838979757391,0.687119291900982,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",61,4,NA,FALSE,25,4,0.138846186909359,0,0.366005930568977,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",62,4,NA,FALSE,25,4,0.109996051946655,0,0.842583307389637,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",63,4,NA,FALSE,25,1,0.25,0.436942481098231,0.605319677434104,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",64,4,NA,FALSE,25,2,0.25,0,1.12920460500241,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",65,4,NA,FALSE,25,1,0.25,0.695399836613797,0.891027035850465,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",66,4,NA,FALSE,25,1,0.25,0,0.805566111893595,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",67,4,NA,FALSE,25,3,0.115470749826636,0.0532629122259095,0.856801066272235,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",68,4,NA,FALSE,25,2,0.25,0,1.27651497827611,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",69,4,NA,FALSE,25,1,0.25,0,1.59686660261381,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",70,4,NA,FALSE,25,2,0.25,0,2.06275808504365,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",71,4,NA,FALSE,25,4,0.130083740712143,0,0.711615101099145,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",72,4,NA,FALSE,25,3,0.149181110609788,0.0860133301932365,0.83526001470901,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",73,4,NA,FALSE,25,3,0.136781855637673,0,0.711561367344023,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",74,4,NA,FALSE,25,1,0.25,0.372319708683062,1.08981952621858,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",75,4,NA,FALSE,25,2,0.25,3.24279151874362,1.03720912642241,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",76,4,NA,FALSE,25,4,0.120853006339166,0,0.732074456967318,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",77,4,NA,FALSE,25,1,0.25,0,1.88441006974022,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",78,4,NA,FALSE,25,1,0.25,0,1.12488925584267,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",79,4,NA,FALSE,25,1,0.25,0,0.455182266399751,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",80,4,NA,FALSE,25,1,0.25,0.805747222946957,2.03085739109747,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",81,5,NA,FALSE,25,1,0.25,0,0.594477703844217,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",82,5,NA,FALSE,25,4,0.132032429578248,0,1.21180836031781,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",83,5,NA,FALSE,25,4,0.135982729657553,0,0.644297650966941,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",84,5,NA,FALSE,25,1,0.25,0,1.46530842945865,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",85,5,NA,FALSE,25,2,0.25,0,0.88373730090132,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",86,5,NA,FALSE,25,3,0.132419819629285,0,0.689028293138167,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",87,5,NA,FALSE,25,1,0.25,0.651705646584742,1.02799844569527,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",88,5,NA,FALSE,25,1,0.25,0,2.75864247788539,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",89,5,NA,FALSE,25,4,0.125388241594192,0,0.579731079944614,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",90,5,NA,FALSE,25,1,0.25,0.66104405116057,1.78305476852209,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",91,5,NA,FALSE,25,2,0.25,0,1.098868541553,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",92,5,NA,FALSE,25,1,0.25,0,1.47764284516132,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",93,5,NA,FALSE,25,1,0.25,0.428874044131953,1.15155991219609,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",94,5,NA,FALSE,25,1,0.25,0.437809607840609,1.12115855127591,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",95,5,NA,FALSE,25,2,0.25,0,0.812665772959298,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",96,5,NA,FALSE,25,2,0.25,0,0.994299371265549,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",97,5,NA,FALSE,25,1,0.25,0,1.13267594836893,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",98,5,NA,FALSE,25,3,0.112318213609979,0.156819197221193,1.08176561824672,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",99,5,NA,FALSE,25,2,0.25,0,0.35294159517989,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",100,5,NA,FALSE,25,1,0.25,0,0.796588678229913,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0002",1,1,NA,FALSE,35,2,0.25,0,0.825070298614162,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",2,1,NA,FALSE,35,1,0.25,0.362516857648734,1.1517082461026,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",3,1,NA,FALSE,35,2,0.25,3.08943399752025,0.673089769703528,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
