"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","gain","loss","decay"
"0004",13,1,NA,FALSE,27,1,0.25,0,1.35134632048388,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",14,1,NA,FALSE,27,1,0.25,0.647728189302143,1.02555570544011,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",15,1,NA,FALSE,27,1,0.25,0,2.35796179692449,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",16,1,NA,FALSE,27,1,0.25,0.757726062636357,1.2190702278423,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",17,1,NA,FALSE,27,1,0.25,0.852435418590903,0.756372723585451,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",18,1,NA,FALSE,27,2,0.25,0,0.882923837762427,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",19,1,NA,FALSE,27,2,0.25,0,1.03913014714256,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",20,1,NA,FALSE,27,2,0.25,0,1.59817450662132,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",21,2,NA,FALSE,27,2,0.25,0,1.41381799263604,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",22,2,NA,FALSE,27,2,0.25,3.02657369780354,0.623208626258087,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",23,2,NA,FALSE,27,1,0.25,0.362331486388575,1.67974019483504,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",24,2,NA,FALSE,27,1,0.25,0.502889339870308,2.44206428076734,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",25,2,NA,FALSE,27,2,0.25,0,0.966343613247631,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",26,2,NA,FALSE,27,1,0.25,0.824564316589385,0.673757872131634,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",27,2,NA,FALSE,27,1,0.25,0.830705805239268,1.65929413089977,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",28,2,NA,FALSE,27,1,0.25,0,1.53161668142174,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",29,2,NA,FALSE,27,1,0.25,0.628620061231777,0.609656652293015,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",30,2,NA,FALSE,27,4,0.1296824230114,0,1.096864858565,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",31,2,NA,FALSE,27,1,0.25,0,1.4062898678203,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",32,2,NA,FALSE,27,1,0.25,0.528631703997962,0.567770178349994,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",33,2,NA,FALSE,27,2,0.25,0,1.25033073328789,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",34,2,NA,FALSE,27,1,0.25,0.783914662513416,1.08870879699441,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",35,2,NA,FALSE,27,3,0.124443006364163,0.146839857427403,0.82459240007366,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",36,2,NA,FALSE,27,2,0.25,0,1.74371510522903,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",37,2,NA,FALSE,27,2,0.25,0,1.50928571269032,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",38,2,NA,FALSE,27,1,0.25,0,1.23848799663327,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",39,2,NA,FALSE,27,1,0.25,0,0.516613703329253,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",40,2,NA,FALSE,27,1,0.25,0.489449856022838,1.15396889342038,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",41,3,NA,FALSE,27,1,0.25,0,1.01746647021432,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",42,3,NA,FALSE,27,1,0.25,0.726700124447234,0.783721551578601,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",43,3,NA,FALSE,27,1,0.25,0.840949197590817,1.24596013873579,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
