"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error","model"
"con",71,0.5237525,0.720801,"group",0.1970485,0.376224457162496,"ev"
"wgt_pun",71,0.309651,0.322259,"group",0.012608,0.0407168069859292,"ev"
"wgt_rew",71,0.4362645,0.484211,"group",0.0479465,0.109902364276717,"ev"
"update",71,0.3668285,0.3699965,"group",0.003168,0.00863618830052737,"ev"
"con",72,1.80439,0.745518,"group",-1.058872,-0.586831006600569,"ev"
"wgt_pun",72,0.3077065,0.333067,"group",0.0253605,0.0824178234778921,"ev"
"wgt_rew",72,0.5855155,0.4779955,"group",-0.10752,-0.183633054974634,"ev"
"update",72,0.06571185,0.3170195,"group",0.25130765,3.82438859962092,"ev"
"con",73,0.552291,0.584365,"group",0.032074,0.0580744571249578,"ev"
"wgt_pun",73,0.239947,0.285017,"group",0.0450699999999999,0.187833146486516,"ev"
"wgt_rew",73,0.4897145,0.4743625,"group",-0.015352,-0.0313488777644933,"ev"
"update",73,0.374749,0.444212,"group",0.069463,0.185358733445586,"ev"
"con",74,1.329505,0.5523105,"group",-0.7771945,-0.58457433405666,"ev"
"wgt_pun",74,0.428525,0.31688,"group",-0.111645,-0.260533224432647,"ev"
"wgt_rew",74,0.4794325,0.4399775,"group",-0.039455,-0.0822952136119266,"ev"
"update",74,0.1555375,0.3863005,"group",0.230763,1.48364863778831,"ev"
"con",75,2.25058,0.439141,"group",-1.811439,-0.804876520719104,"ev"
"wgt_pun",75,0.3480045,0.2864185,"group",-0.061586,-0.176968975975885,"ev"
"wgt_rew",75,0.5936135,0.424618,"group",-0.1689955,-0.284689448605869,"ev"
"update",75,0.07030685,0.4853935,"group",0.41508665,5.90392899127183,"ev"
"con",76,1.03179,0.6132585,"group",-0.4185315,-0.40563632134446,"ev"
"wgt_pun",76,0.4043015,0.3307725,"group",-0.073529,-0.181866750432536,"ev"
"wgt_rew",76,0.4685375,0.4505135,"group",-0.018024,-0.0384686391163994,"ev"
"update",76,0.168181,0.51659,"group",0.348409,2.07163115928672,"ev"
"con",77,0.4160335,0.6494485,"group",0.233415,0.561048569406069,"ev"
"wgt_pun",77,0.225825,0.277335,"group",0.05151,0.228096977748256,"ev"
"wgt_rew",77,0.4608175,0.487549,"group",0.0267315,0.0580088646807034,"ev"
"update",77,0.2132615,0.227817,"group",0.0145555,0.0682518879403924,"ev"
"con",78,1.4648,0.514029,"group",-0.950771,-0.649079055161114,"ev"
"wgt_pun",78,0.3569825,0.268423,"group",-0.0885595,-0.24807798701617,"ev"
"wgt_rew",78,0.5330905,0.4626165,"group",-0.0704739999999999,-0.132198941830702,"ev"
"update",78,0.0553041,0.361865,"group",0.3065609,5.5431857674205,"ev"
"con",79,1.74538,0.5629285,"group",-1.1824515,-0.67747510570764,"ev"
"wgt_pun",79,0.335912,0.263259,"group",-0.072653,-0.216285812951011,"ev"
"wgt_rew",79,0.564996,0.478021,"group",-0.0869750000000001,-0.153939142931985,"ev"
"update",79,0.0518347,0.319795,"group",0.2679603,5.16951578768663,"ev"
"con",80,2.06675,0.635554,"group",-1.431196,-0.692486270714891,"ev"
"wgt_pun",80,0.242644,0.259332,"group",0.016688,0.0687756548688614,"ev"
"wgt_rew",80,0.6285535,0.5002845,"group",-0.128269,-0.204070138818732,"ev"
